Company1,Company2,Value
10,6,0.02600315134469886
10,7,0
10,8,0.06550851999507132
10,9,0.30366044183123764
10,10,1.0
10,11,-0.09840841449849254
10,12,-0.06226885501257959
10,13,0.08542602582463958
10,14,-0.05248143227390423
10,15,0.05372909462832648
10,16,0.19220576099889208
10,17,0.2436716538710884
10,18,-0.2672398823620967
10,19,0.28904804569513953
10,20,0.26525064651119135
10,21,-0.04170047763115336
10,22,0.0841100616757035
10,23,0.03870051823865868
10,24,0.1068654173857372
10,25,0.0024872447765850914
10,26,0.7010801897110862
10,27,0.8555606704382802
10,28,0.5237087130166082
10,29,0.25038416573156336
10,30,0.012162120035069217
10,31,0.25133699876812754
10,32,0.030266010674763765
10,33,-0.09287618125532159
10,34,-0.11389900286430502
10,35,-0.17936921338782055
10,36,0.1823791605328507
10,37,-0.02274707068016556
10,38,0.25635056753799806
11,1,0.3689194338215776
11,2,-0.5636326825817586
11,3,0.3818845523514175
11,4,-0.24277073179154393
11,5,-0.1394127068104605
11,6,0.46080586119855343
11,7,0
11,8,0.3713060051638743
11,9,-0.23356988808731993
11,10,-0.09840841449849255
11,11,0.9999999999999998
11,12,0.6106436843258898
11,13,-0.23218148046123085
11,14,0.6633518881001729
11,15,-0.09407349432068156
11,16,0.18527870176085506
11,17,-0.2687542990427643
11,18,-0.22664576198009528
11,19,-0.19053541493352666
11,20,-0.2622878728556598
11,21,0.20613135357698936
11,22,-0.18708831739904855
11,23,0.4522280690571191
11,24,0.4108498013944411
11,25,0.6254730693896868
11,26,-0.14400924630074025
11,27,-0.08314391427505927
11,28,-0.17375844596498152
11,29,-0.6292669955970414
11,30,-0.28839291003573586
11,31,-0.2188113769814514
11,32,-0.10485303936115684
11,33,0.6862491233522546
11,34,-0.5691392280890654
11,35,-0.008973724285839441
11,36,0.05387558784067405
11,37,0.31642220012891475
11,38,-0.2594799848602475
12,1,0.6942671511037963
12,2,-0.487743352015773
12,3,0.22308949826592567
12,4,0.12395529907376551
12,5,0.2890669953086813
12,6,0.2915378808299537
12,7,0
12,8,0.09090573951605319
12,9,-0.27013530250493495
12,10,-0.06226885501257959
12,11,0.6106436843258898
12,12,1.0
12,13,-0.17491651497715405
12,14,0.705780186184137
12,15,-0.006247375746557872
12,16,-0.035236288902651985
12,17,-0.23562887919900244
12,18,-0.1347185352345407
